refno,PCON11CD,Constituency,Estimated Leave proportion,Known result,Figure to use,Notes,Region,Errors,
318,E14000752,Hornsey and Wood Green,0.1848122852,NA,0.1848122852,,London,#VALUE!,#VALUE!
590,E14001008,Vauxhall,0.1927288176,0.2242839619,0.2242839619,,London,0.03155514435,
229,S14000023,Edinburgh North and Leith,0.1941454782,0.2179552346,0.2179552346,,Scotland,0.02380975636,
102,E14000602,Bristol West,0.2040519927,0.2071150843,0.2071150843,,South West,0.003063091651,
280,E14000720,Hackney North and Stoke Newington,0.2094955837,NA,0.2094955837,,London,#VALUE!,
206,E14000673,Dulwich and West Norwood,0.2205254119,NA,0.2205254119,,London,#VALUE!,
281,E14000721,Hackney South and Shoreditch,0.221796833,NA,0.221796833,,London,#VALUE!,
544,E14000978,Streatham,0.2241244158,0.2053967406,0.2053967406,,London,-0.01872767526,
38,E14000549,Battersea,0.2303755679,NA,0.2303755679,,London,#VALUE!,
290,E14000727,Hampstead and Kilburn,0.234826777,NA,0.234826777,,London,#VALUE!,
334,E14000763,Islington North,0.2350021222,NA,0.2350021222,,London,#VALUE!,
230,S14000024,Edinburgh South,0.2361405799,0.2215338737,0.2215338737,,Scotland,-0.01460670619,
363,E14000789,"Lewisham, Deptford",0.2466929651,NA,0.2466929651,,London,#VALUE!,
574,E14000998,Tooting,0.2532017438,NA,0.2532017438,,London,#VALUE!,
98,E14000598,"Brighton, Pavilion",0.2567763142,NA,0.2567763142,,South East,#VALUE!,
469,S14000021,East Renfrewshire,0.2568141894,0.2568141894,0.2568141894,,Scotland,0,
335,E14000764,Islington South and Finsbury,0.2613699424,NA,0.2613699424,,London,#VALUE!,
389,E14000809,"Manchester, Withington",0.2630734275,NA,0.2630734275,,North West,#VALUE!,
119,E14000617,Cambridge,0.2647545662,NA,0.2647545662,,East of England,#VALUE!,
209,S14000018,East Dunbartonshire,0.2670022732,NA,0.2670022732,,Scotland,#VALUE!,
462,E14000887,Putney,0.2685141314,NA,0.2685141314,,London,#VALUE!,
231,S14000025,Edinburgh South West,0.2686276599,0.2786164648,0.2786164648,,Scotland,0.009988804865,
370,E14000793,"Liverpool, Riverside",0.2688889708,NA,0.2688889708,,North West,#VALUE!,
49,E14000553,Bermondsey and Old Southwark,0.2700401192,NA,0.2700401192,,London,#VALUE!,
621,E14001040,Wimbledon,0.2704628268,NA,0.2704628268,,London,#VALUE!,
316,E14000750,Holborn and St Pancras,0.2742120802,NA,0.2742120802,,London,#VALUE!,
264,S14000031,Glasgow North,0.2765831581,0.2162047426,0.2162047426,,Scotland,-0.06037841552,
473,E14000896,Richmond Park,0.2770387111,NA,0.2770387111,,London,#VALUE!,
262,S14000029,Glasgow Central,0.2802114198,0.2875060852,0.2875060852,,Scotland,0.007294665341,
218,E14000674,Ealing Central and Acton,0.282278614,NA,0.282278614,,London,#VALUE!,
151,E14000639,Cities of London and Westminster,0.286318407,NA,0.286318407,,London,#VALUE!,
267,S14000034,Glasgow South,0.2870408505,0.2819188863,0.2819188863,,Scotland,-0.005121964178,
232,S14000026,Edinburgh West,0.2895097917,0.2876601964,0.2876601964,,Scotland,-0.001849595316,
140,E14000629,Chelsea and Fulham,0.2921402094,NA,0.2921402094,,London,#VALUE!,
266,S14000033,Glasgow North West,0.2997350125,0.3149285296,0.3149285296,,Scotland,0.01519351707,
117,E14000615,Camberwell and Peckham,0.3019691475,NA,0.3019691475,,London,#VALUE!,
126,W07000050,Cardiff Central,0.3035441463,NA,0.3035441463,,Wales,#VALUE!,
504,E14000919,Sheffield Central,0.3040721727,NA,0.3040721727,,Yorkshire and The Humber,#VALUE!,
228,S14000022,Edinburgh East,0.3047810109,0.2763678537,0.2763678537,,Scotland,-0.02841315718,
252,E14000703,Finchley and Golders Green,0.3091974839,NA,0.3091974839,,London,#VALUE!,
52,E14000555,Bethnal Green and Bow,0.3093190508,NA,0.3093190508,,London,#VALUE!,
286,E14000726,Hammersmith,0.3103877818,NA,0.3103877818,,London,#VALUE!,
340,E14000768,Kensington,0.3135044346,NA,0.3135044346,,London,#VALUE!,
36,E14000547,Bath,0.3169279409,NA,0.3169279409,,South West,#VALUE!,
533,S14000057,Stirling,0.322849138,0.322849138,0.322849138,,Scotland,0,
443,E14000873,Oxford East,0.3231255145,NA,0.3231255145,,South East,#VALUE!,
4,S14000002,Aberdeen South,0.3232565417,NA,0.3232565417,,Scotland,#VALUE!,
615,E14001036,Westminster North,0.3297510088,NA,0.3297510088,,London,#VALUE!,
578,E14001002,Tottenham,0.3339574162,NA,0.3339574162,,London,#VALUE!,
581,E14001005,Twickenham,0.3367556087,NA,0.3367556087,,London,#VALUE!,
321,E14000755,Hove,0.3392146965,NA,0.3392146965,,South East,#VALUE!,
456,E14000882,Poplar and Limehouse,0.3418642886,NA,0.3418642886,,London,#VALUE!,
446,S14000053,Paisley and Renfrewshire South,0.3418975385,NA,0.3418975385,,Scotland,#VALUE!,
365,E14000788,Lewisham West and Penge,0.3446838064,NA,0.3446838064,,London,#VALUE!,
278,E14000718,Greenwich and Woolwich,0.3469088718,0.356656796,0.356656796,,London,0.009747924183,
16,W07000057,Arfon,0.3490749007,NA,0.3490749007,,Wales,#VALUE!,
366,E14000790,Leyton and Wanstead,0.3500550486,NA,0.3500550486,,London,#VALUE!,
224,S14000020,East Lothian,0.3539559572,0.3539559572,0.3539559572,,Scotland,0,
354,E14000780,Leeds North West,0.3539748898,NA,0.3539748898,,Yorkshire and The Humber,#VALUE!,
364,E14000787,Lewisham East,0.3544815509,NA,0.3544815509,,London,#VALUE!,
348,S14000042,Lanark and Hamilton East,0.3546686261,NA,0.3546686261,,Scotland,#VALUE!,
372,E14000795,"Liverpool, Wavertree",0.3584956535,NA,0.3584956535,,North West,#VALUE!,
505,E14000922,"Sheffield, Hallam",0.3590070068,NA,0.3590070068,,Yorkshire and The Humber,#VALUE!,
445,S14000052,Paisley and Renfrewshire North,0.3609494834,NA,0.3609494834,,Scotland,#VALUE!,
330,S14000038,Inverclyde,0.3620342137,0.3620342137,0.3620342137,,Scotland,0,
595,E14001013,Walthamstow,0.3640760308,NA,0.3640760308,,London,#VALUE!,
387,E14000807,Manchester Central,0.3665873462,NA,0.3665873462,,North West,#VALUE!,
406,S14000047,Motherwell and Wishaw,0.3697252683,NA,0.3697252683,,Scotland,#VALUE!,
353,E14000779,Leeds North East,0.373261813,NA,0.373261813,,Yorkshire and The Humber,#VALUE!,
487,S14000056,Rutherglen and Hamilton West,0.3734174153,NA,0.3734174153,,Scotland,#VALUE!,
238,E14000692,"Enfield, Southgate",0.3737689986,NA,0.3737689986,,London,#VALUE!,
265,S14000032,Glasgow North East,0.3766919948,0.406576167,0.406576167,,Scotland,0.0298841722,
388,E14000808,"Manchester, Gorton",0.3790481123,NA,0.3790481123,,North West,#VALUE!,
173,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",0.3790899259,NA,0.3790899259,,Scotland,#VALUE!,
396,S14000045,Midlothian,0.3794096947,0.3794096947,0.3794096947,,Scotland,0,
223,S14000019,"East Kilbride, Strathaven and Lesmahagow",0.3799721785,NA,0.3799721785,,Scotland,#VALUE!,
210,S14000059,West Dunbartonshire,0.3800555298,0.3800555298,0.3800555298,,Scotland,0,
490,E14000960,St Albans,0.3801529694,NA,0.3801529694,,East of England,#VALUE!,
250,S14000049,North East Fife,0.3813719637,NA,0.3813719637,,Scotland,#VALUE!,
444,E14000874,Oxford West and Abingdon,0.3818095305,NA,0.3818095305,,South East,#VALUE!,
464,E14000889,Reading East,0.3823854953,NA,0.3823854953,,South East,#VALUE!,
211,S14000015,Dundee East,0.3825275627,NA,0.3825275627,,Scotland,#VALUE!,
122,E14000934,South Cambridgeshire,0.3844375957,NA,0.3844375957,,East of England,#VALUE!,
9,E14000532,Altrincham and Sale West,0.3846870964,NA,0.3846870964,,North West,#VALUE!,
648,E14001061,York Central,0.3853303819,NA,0.3853303819,,Yorkshire and The Humber,#VALUE!,
5,S14000058,West Aberdeenshire and Kincardine,0.3860722321,NA,0.3860722321,,Scotland,#VALUE!,
156,S14000011,"Coatbridge, Chryston and Bellshill",0.3872332567,NA,0.3872332567,,Scotland,#VALUE!,
127,W07000051,Cardiff North,0.3908054342,NA,0.3908054342,,Wales,#VALUE!,
315,E14000749,Hitchin and Harpenden,0.3921062806,NA,0.3921062806,,East of England,#VALUE!,
436,S14000050,Ochil and South Perthshire,0.3925028404,NA,0.3925028404,,Scotland,#VALUE!,
268,S14000035,Glasgow South West,0.3935801775,0.4086436703,0.4086436703,,Scotland,0.0150634928,
17,S14000005,Argyll and Bute,0.3943239691,0.3943239691,0.3943239691,,Scotland,0,
92,E14000593,Brentford and Isleworth,0.3950853268,NA,0.3950853268,,London,#VALUE!,
342,S14000040,Kilmarnock and Loudoun,0.3960825307,NA,0.3960825307,,Scotland,#VALUE!,
622,E14001041,Winchester,0.3971032124,NA,0.3971032124,,South East,#VALUE!,
213,S14000017,Dunfermline and West Fife,0.4002669477,NA,0.4002669477,,Scotland,#VALUE!,
6,S14000003,Airdrie and Shotts,0.4005130754,NA,0.4005130754,,Scotland,#VALUE!,
450,S14000054,Perth and North Perthshire,0.4017141951,NA,0.4017141951,,Scotland,#VALUE!,
441,S14000051,Orkney and Shetland,0.4028130825,NA,0.4028130825,,Scotland,#VALUE!,
431,E14000864,Norwich South,0.4036060387,NA,0.4036060387,,East of England,#VALUE!,
554,E14000953,South West Surrey,0.4060791595,NA,0.4060791595,,South East,#VALUE!,
100,E14000600,Bristol North West,0.4071929033,0.4159740642,0.4159740642,,South West,0.008781160901,
148,E14000636,Chipping Barnet,0.4092972926,NA,0.4092972926,,London,#VALUE!,
61,E14000564,"Birmingham, Ladywood",0.4108290645,NA,0.4108290645,,West Midlands,#VALUE!,
601,E14001019,Warwick and Leamington,0.4112854182,NA,0.4112854182,,West Midlands,#VALUE!,
415,E14000832,Newcastle upon Tyne East,0.4113020255,NA,0.4113020255,,North East,#VALUE!,
212,S14000016,Dundee West,0.4115098933,NA,0.4115098933,,Scotland,#VALUE!,
279,E14000719,Guildford,0.4117792506,NA,0.4117792506,,South East,#VALUE!,
486,E14000908,Rushcliffe,0.4130787973,NA,0.4130787973,,East Midlands,#VALUE!,
331,S14000039,"Inverness, Nairn, Badenoch and Strathspey",0.4137974888,NA,0.4137974888,,Scotland,#VALUE!,
295,E14000732,Harrow West,0.4138764909,NA,0.4138764909,,London,#VALUE!,
343,E14000770,Kingston and Surbiton,0.4159414685,NA,0.4159414685,,London,#VALUE!,
369,S14000043,Linlithgow and East Falkirk,0.416080522,NA,0.416080522,,Scotland,#VALUE!,
243,E14000697,Esher and Walton,0.4162523621,NA,0.4162523621,,South East,#VALUE!,
345,S14000041,Kirkcaldy and Cowdenbeath,0.4166315082,NA,0.4166315082,,Scotland,#VALUE!,
138,E14000627,Cheadle,0.419059151,NA,0.419059151,,North West,#VALUE!,
304,E14000741,Hendon,0.4193508856,NA,0.4193508856,,London,#VALUE!,
245,S14000028,Falkirk,0.4199140734,NA,0.4199140734,,Scotland,#VALUE!,
25,S14000048,North Ayrshire and Arran,0.4229065403,NA,0.4229065403,,Scotland,#VALUE!,
629,E14001048,Wokingham,0.4246933515,NA,0.4246933515,,South East,#VALUE!,
357,E14000783,Leicester South,0.4258202386,NA,0.4258202386,,East Midlands,#VALUE!,
171,E14000655,Croydon North,0.426225132,NA,0.426225132,,London,#VALUE!,
559,W07000047,Swansea West,0.4265852976,NA,0.4265852976,,Wales,#VALUE!,
143,E14000640,City of Chester,0.4271304058,NA,0.4271304058,,North West,#VALUE!,
24,S14000010,Central Ayrshire,0.4272058174,NA,0.4272058174,,Scotland,#VALUE!,
141,E14000630,Cheltenham,0.4278241767,NA,0.4278241767,,South West,#VALUE!,
625,E14001044,Wirral West,0.427827161,0.446901996,0.427827161,See http://www.wirralglobe.co.uk/news/14582313.Detailed_breakdown_of_how_Wirral_voted_in_Referendum___The_poorer_the_area__the_bigger_its_Leave_vote_/,North West,0.01907483501,
432,E14000865,Nottingham East,0.4280354764,NA,0.4280354764,,East Midlands,#VALUE!,
90,E14000591,Brent Central,0.4292455493,NA,0.4292455493,,London,#VALUE!,
23,S14000006,"Ayr, Carrick and Cumnock",0.4298681805,NA,0.4298681805,,Scotland,#VALUE!,
305,E14000742,Henley,0.4307181625,NA,0.4307181625,,South East,#VALUE!,
91,E14000592,Brent North,0.4309235831,NA,0.4309235831,,London,#VALUE!,
3,S14000001,Aberdeen North,0.4309975547,NA,0.4309975547,,Scotland,#VALUE!,
57,E14000560,"Birmingham, Edgbaston",0.4316584117,NA,0.4316584117,,West Midlands,#VALUE!,
51,S14000008,"Berwickshire, Roxburgh and Selkirk",0.4320071997,NA,0.4320071997,,Scotland,#VALUE!,
59,E14000562,"Birmingham, Hall Green",0.4326658793,NA,0.4326658793,,West Midlands,#VALUE!,
479,S14000055,"Ross, Skye and Lochaber",0.4335221268,NA,0.4335221268,,Scotland,#VALUE!,
97,E14000597,"Brighton, Kemptown",0.4342993775,NA,0.4342993775,,South East,#VALUE!,
64,E14000567,"Birmingham, Selly Oak",0.436370308,NA,0.436370308,,West Midlands,#VALUE!,
374,S14000044,Livingston,0.4381333665,NA,0.4381333665,,Scotland,#VALUE!,
329,E14000760,Ilford South,0.4387414549,NA,0.4387414549,,London,#VALUE!,
208,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",0.4394452696,NA,0.4394452696,,Scotland,#VALUE!,
263,S14000030,Glasgow East,0.4396986041,0.4383731411,0.4383731411,,Scotland,-0.001325463028,
628,E14001047,Woking,0.4405758349,NA,0.4405758349,,South East,#VALUE!,
220,E14000676,"Ealing, Southall",0.4427445108,NA,0.4427445108,,London,#VALUE!,
214,E14000641,City of Durham,0.4435008497,NA,0.4435008497,,North East,#VALUE!,
271,S14000037,Gordon,0.4456318835,NA,0.4456318835,,Scotland,#VALUE!,
580,E14001004,Tunbridge Wells,0.4470139079,NA,0.4470139079,,South East,#VALUE!,
244,E14000698,Exeter,0.4470640158,NA,0.4470640158,,South West,#VALUE!,
407,S14000027,Na h-Eileanan an Iar,0.4476279944,0.4476279944,0.4476279944,,Scotland,0,
129,W07000079,Cardiff West,0.4483702206,NA,0.4483702206,,Wales,#VALUE!,
649,E14001062,York Outer,0.4491634826,NA,0.4491634826,,Yorkshire and The Humber,#VALUE!,
128,W07000080,Cardiff South and Penarth,0.4493568723,NA,0.4493568723,,Wales,#VALUE!,
142,E14000631,Chesham and Amersham,0.4498498396,0.4498498396,0.4498498396,,South East,0,
123,E14000937,South East Cambridgeshire,0.4498843746,NA,0.4498843746,,East of England,#VALUE!,
434,E14000867,Nottingham South,0.450235215,0.4646776483,0.4646776483,,East Midlands,0.01444243333,
500,E14000916,Sefton Central,0.4512582863,NA,0.4512582863,,North West,#VALUE!,
125,E14000619,Canterbury,0.4534039729,NA,0.4534039729,,South East,#VALUE!,
135,W07000064,Ceredigion,0.4537013739,0.4537013739,0.4537013739,,Wales,0,
312,E14000746,Hexham,0.4538836705,NA,0.4538836705,,North East,#VALUE!,
207,S14000013,Dumfries and Galloway,0.4539451293,NA,0.4539451293,,Scotland,#VALUE!,
383,E14000803,Maidenhead,0.4541335515,NA,0.4541335515,,South East,#VALUE!,
526,E14000958,Southport,0.455067037,NA,0.455067037,,North West,#VALUE!,
624,E14001043,Wirral South,0.455934157,0.465489416,0.455934157,See http://www.wirralglobe.co.uk/news/14582313.Detailed_breakdown_of_how_Wirral_voted_in_Referendum___The_poorer_the_area__the_bigger_its_Leave_vote_/,North West,0.009555258973,
478,E14000901,Romsey and Southampton North,0.4580927726,NA,0.4580927726,,South East,#VALUE!,
454,W07000075,Pontypridd,0.4581995036,NA,0.4581995036,,Wales,#VALUE!,
563,E14000987,Tatton,0.4583063,NA,0.4583063,,North West,#VALUE!,
172,E14000656,Croydon South,0.4586911633,NA,0.4586911633,,London,#VALUE!,
288,E14000844,North East Hampshire,0.4592303848,NA,0.4592303848,,South East,#VALUE!,
546,E14000980,Stroud,0.4598749413,NA,0.4598749413,,South West,#VALUE!,
623,E14001042,Windsor,0.4608509373,NA,0.4608509373,,South East,#VALUE!,
579,E14001003,Truro and Falmouth,0.4622133598,NA,0.4622133598,,South West,#VALUE!,
