refno,PCON11CD,Constituency,Estimated Leave proportion,Known result,Figure to use,Notes,Region,Errors,
513,E14000928,Skipton and Ripon,0.5303345057,NA,0.5303345057,,Yorkshire and The Humber,#VALUE!,
356,E14000782,Leicester East,0.5316441994,NA,0.5316441994,,East Midlands,#VALUE!,
84,E14000586,Bracknell,0.5325104196,NA,0.5325104196,,South East,#VALUE!,
326,E14000757,Huntingdon,0.5327471457,NA,0.5327471457,,East of England,#VALUE!,
43,E14000841,North East Bedfordshire,0.5329326007,NA,0.5329326007,,East of England,#VALUE!,
570,E14000994,Thornbury and Yate,0.5332839051,NA,0.5332839051,,South West,#VALUE!,
2,W07000058,Aberconwy,0.5338379841,NA,0.5338379841,,Wales,#VALUE!,
338,E14000766,Keighley,0.5348892626,NA,0.5348892626,,Yorkshire and The Humber,#VALUE!,
609,E14001026,Wells,0.534930546,NA,0.534930546,,South West,#VALUE!,
82,E14000584,Bournemouth East,0.5350713031,NA,0.5350713031,,South West,#VALUE!,
632,E14001051,Wolverhampton South West,0.5357515853,NA,0.5357515853,,West Midlands,#VALUE!,
34,E14000545,Basingstoke,0.5364191295,NA,0.5364191295,,South East,#VALUE!,
111,E14000611,Bury North,0.536593443,NA,0.536593443,,North West,#VALUE!,
638,E14000682,East Worthing and Shoreham,0.5367434864,NA,0.5367434864,,South East,#VALUE!,
633,E14001052,Worcester,0.5367724331,0.5367724331,0.5367724331,,West Midlands,0,
41,E14000552,Bedford,0.5367871676,NA,0.5367871676,,East of England,#VALUE!,
181,E14000662,Derby North,0.5373816638,NA,0.5373816638,,East Midlands,#VALUE!,
113,E14000613,Bury St Edmunds,0.5373851606,NA,0.5373851606,,East of England,#VALUE!,
131,W07000067,Carmarthen East and Dinefwr,0.5376553474,NA,0.5376553474,,Wales,#VALUE!,
566,E14000990,Tewkesbury,0.537790386,NA,0.537790386,,South West,#VALUE!,
371,E14000794,"Liverpool, Walton",0.5380360055,NA,0.5380360055,,North West,#VALUE!,
502,E14000918,Sevenoaks,0.538611222,NA,0.538611222,,South East,#VALUE!,
488,E14000909,Rutland and Melton,0.5395742598,NA,0.5395742598,,East Midlands,#VALUE!,
27,S14000007,Banff and Buchan,0.5401840179,NA,0.5401840179,,Scotland,#VALUE!,
226,E14000685,Eastleigh,0.5401918453,NA,0.5401918453,,South East,#VALUE!,
643,E14001057,Wyre and Preston North,0.5403704776,NA,0.5403704776,,North West,#VALUE!,
103,E14000603,Broadland,0.5406077153,NA,0.5406077153,,East of England,#VALUE!,
577,E14001001,Totnes,0.5408686983,NA,0.5408686983,,South West,#VALUE!,
515,E14000930,Slough,0.5410037979,NA,0.5410037979,,South East,#VALUE!,
549,E14000946,South Suffolk,0.5415032318,NA,0.5415032318,,East of England,#VALUE!,
63,E14000566,"Birmingham, Perry Barr",0.5418580413,NA,0.5418580413,,West Midlands,#VALUE!,
552,E14000681,East Surrey,0.5419184365,NA,0.5419184365,,South East,#VALUE!,
